"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Nevada","CA","Truckee","06","057",565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.379396984925,190.503676512107,190.935103169755,195.668166407233,202.249040641898,210.976158344579,217.502558853634,218.374946800965,217.599502487562,218.001497005988,215.116485463627,210.606337738351,210.263157894737,202.763879113205,206.087135522619,211.085839601818,212.57110027419,216.001670760858,218.083740046237,218.784913003663,216.405605935697,222.828784119107,220.053578262533,216.436534707556,215.601757944557,222.597087378641,223.205741626794,227.4574502617,230.131578947368,231.230031948882,233.610822060354,244.299674267101,245.982694684796,240.603946102021,240.40626533966,238.785885167464,239.463601532567,235.378621963134,232.127424792161,238.497103386809,243.463632340204,250.897971503382,253.115699404762,256.949152542373,262.712235796541,260.145681581686,260.139011179594,259.985151870233,261.318681318681,252.884226523352,257.492748952626,261.382730664371
"Eau Claire","WI","Eau Claire","55","035",566,99.4952100690464,98.5607675906183,99.711116820829,99.8553921568627,100.117924528302,99.8684210526316,98.8301545050634,98.7335654202304,97.0265165352781,96.3010204081633,95.6196581196581,92.8819444444444,92.7356519026825,90.5922610239716,94.2216981132076,94.9319255348708,95.3245563421122,92.9848198124074,91.6279069767442,92.2077922077922,91.5760296934866,91.8896321070234,92.1939070808445,91.6279069767442,91.2796928516186,91.0911895122422,92.3915855364794,91.8693315519286,92.246835443038,92.4768518518518,92.4202127659574,91.4215302981126,91.1140727900203,91.25,90.8787878787879,91.5849620364502,92.0420797514355,92.1250073955745,92.9361709606303,95.9967320261438,97.7029766202033,97.6337448559671,97.7981651376147,96.7246673490276,97.0018075094811,98.3637559808612,96.2809917355372,97.7130210254519,97.7556151008271,99.7523748369211,100.814902457657,100,101.475694444444,101.688846810326,102.172558922559,101.319003197446,101.326053042122,99.818401937046,99.6004228708631,101.427838142769,101.300675675676,101.494349967093,103.769230769231,103.981668887067,104.287639148399,103.195402298851,101.388888888889,101.759259259259,103.564029202841,104.92125984252,105.614266842801,105.305234639574,107.650862068966,107.988037061478,107.790188743734,109.294108669109,111.969111969112,112.65368852459,114.297385620915,113.36291913215,110.680379746835,110.428360336313,113.720686034302,114.740740740741,113.536586957373,116.462813620072,118.447993447993
"Wicomico","MD","Salisbury","24","045",567,117.876588021779,115.055248618785,113.569518716578,114.454829926977,113.565062388592,112.373737373737,111.350574712644,111.033653846154,109.247637583235,109.209398886528,108.847479964208,106.935502132003,106.734074787378,105.575117370892,104.646596858639,105.223251895535,104.058277027027,103.282875793469,102.871072589382,102.00364298725,101.763961968279,100.83391284191,100.42961726408,99.7918746533555,97.4431818181818,96.9881022104666,100.343082354263,97.042624226783,98.1692857142857,97.7326035965598,98.5035079862666,98.3743686868687,97.3799126637555,98.2470119521912,99.9384370740572,98.9401323453048,98.2520029133285,97.5276512687053,96.5207631874298,99.648169623044,99.4718309859155,101.3723150358,101.044474393531,100,99.6118887556639,95.7763266662282,95.0976128080336,93.3996418221389,92.9431072210066,95.7158962795941,96.5730951512942,97.4837351703023,98.0317940953823,99.6294681778553,100.533661740558,98.8609112709832,97.9658005855611,97.5438596491228,95.7977207977208,92.9051374285187,92.96875,93.8064980828139,93.1818181818182,93.2227052242032,93.262987012987,94.6103423160961,94.6447642722891,93.8147558703687,93.8584664853914,94.0513959209441,94.202657831043,92.6510989010989,91.540404040404,92.8390367553866,93.0024003462795,94.2723492723493,94.4852941176471,94.793193630064,96.3559085841695,96.6048783643892,98.7162606978275,96.6632568232855,96.2274143789902,96.5486111111111,95.7977207977208,97.10114622057,98.2163251321543
"Madison","TN","Jackson","47","113",568,71.7794253938832,71.4940421631531,72.1366698748797,72.1829280715706,71.807596643123,72.9139917177007,73.0708893179352,73.3489905261788,73.0916030534351,70.9393346379648,69.7730375808582,69.3944757088307,69.0284879474069,68.1611435997401,68.4765419082762,67.4544226873734,67.7479338842975,66.3000966832116,64.7954743255004,64.5425172565722,63.791874554526,63.3124699085219,64.0438034188034,61.6151022548505,61.6151022548505,62.7130806414659,62.4715909090909,64.2439318338377,66.4756834477139,65.6085473903971,66.5336839190551,67.2043010752688,66.8427093924759,66.5971410006498,68.546727048168,67.1144859813084,66.4086410470898,66.9924677239022,68.1951219512195,69.910941475827,70.7838479809976,70.273631840796,70.4394438966268,69.7777777777778,69.4893341952165,69.6969696969697,69.4069269128876,68.8313465670726,69.5400077309625,70.8499392576744,70.6751781635393,72.0551378446115,72.4609750634727,71.8010109071562,71.5767634854772,71.1736707385442,71.1944098260543,72.0552884615385,73.7904507557649,70.222201546572,70.2040816326531,71.0961265746211,71.017965386587,72.1672177609825,72.4563758389262,72.5076797524939,72.1128608923885,72.1331194867682,70.9079283887468,70.4089952234135,69.6713147410359,70.1638937125818,70.0689277361913,70.4456906275882,69.811858608894,71.0807642399419,70.8277869862723,69.9013157894737,69.3119401981989,69.1194968553459,68.737107494843,69.2149820420729,69.7214734950584,70.5411764705882,70.2360349020919,69.5110258868648,70.3363914373089
"Cleveland","NC","Shelby","37","045",569,77.3742788730073,77.4443746238029,77.1980676328502,77.9151447510823,77.9151447510823,77.0979400024209,76.8971103961582,77.1818181818182,74.9049429657795,76.0315751704342,76.5426829268293,73.9295043836107,71.9796215429403,71.6612236970739,70,72.3913043478261,71.5746421267894,73.2323232323232,71.9768424717583,72.5404839180533,70.5521472392638,71.0939091464657,70.5521472392638,71.4090775876763,73.5991174056813,70.5044506847437,71.2530712530713,70.02457002457,69.8444099378882,70.5179282868526,68.2420044815645,66.9558359621451,64.7162501745079,66.0332202038429,75.6487889273356,75.1633986928105,75.0918372215066,74.5502413339184,76.3761467889908,76.236287073443,76.0323886639676,75.6802721088435,76.1795813441058,75.6311171527435,77.6248329100678,77.8630460448642,76.5534913516976,75.6493506493507,74.5123670914712,76.0646909982934,78.1824763864898,78.1950965049557,79.8419968640081,82.3065902578797,82.6071428571429,82.5179425837321,82.3118317143057,80.5814591332968,79.4075144508671,80.7554287817446,82.6777052450247,83.6030204962244,81.0006937448373,82.7708764665286,86.31512868801,85.0817438692098,86.2068965517241,85.4271596459097,87.0525657301718,83.7302290157459,82.4074074074074,82.2368421052632,83.0188679245283,83.0188679245283,82.4823252160251,82.9396151293961,80.7599228410661,79.9715234931182,83.4114150698034,80.2678571428571,80.7051282051282,83.4114150698034,82.4967263203841,79.9975,83.25,82.9852941176471,81.7268041237113
"Fairbanks North Star","AK","Fairbanks","02","090",570,132.460971825501,130.958333333333,130.557904007045,129.933333333333,130.293604204284,130.849570673712,129.494305977171,129.178632969558,126.565377532228,126.089743589744,125.816074415767,123.4860644973,123.595505617978,121.420996818664,125.845229151014,126.915216007883,125.199071757675,125.637060379707,125.069541029207,125,123.997384481255,125.806051587302,125.113895216401,125,125.292643229167,125.916030534351,129.168103448276,127.213332348725,131.000384024578,130.455407969639,127.635477929494,127.781118460613,124.421669106881,122.591006423983,125.707547169811,124.977272727273,125.916030534351,127.951388888889,129.611166500499,131.486267752715,133.446601941748,137.086092715232,135.48998459168,133.903033782079,130.443402406648,131.388888888889,128.14465408805,126.984126984127,128.394026373225,129.213483146067,131.463414634146,133.420026007802,133.630952380952,132.352941176471,130.590043857666,126,125.910364145658,118.239533492823,116.019371345029,116.745384285101,118.188432157148,121.734892787524,121.181005958081,124.434721071527,125.334448160535,124.738930659983,126.524390243902,125.058207217695,124.958333333333,122.092230255434,124.96875,127.129329079575,121.478174603175,120.28743315508,125.445037545763,129.125,133.869047619048,135.172413793103,138.936222773526,137.948403770957,135.704022988506,131.84951626115,130.297283629533,130.440821256039,128.276388888889,130.882352941176,133.03730017762
"Cape May","NJ","Ocean City","34","009",571,322.258294667184,323.946124257037,316.575335892514,310,308.183441558442,313.861857034148,305.827578333861,301.992753623188,302.53164556962,301.811594202899,294.8252392364,292.142857142857,286.855691486042,285.611387750977,285.532994923858,291.75293266301,287.896253602305,285,289.636363636364,292.635004821601,291.666666666667,285.877737822818,284.802043422733,279.018087855297,284.757834757835,272.036905606813,289.688972734392,297.016311369509,287.530266343826,282.130413140866,282.560950278583,273.185011709602,277.217741935484,277.430555555556,278.645833333333,280.550774526678,277.834122154609,280.826446280992,284.545563967511,282.381721826828,283.387288135593,282.297551789077,283.007027463651,282.297551789077,286.857489744073,289.634146341463,296.687370600414,298.636363636364,295.147679324895,298.723715338769,299.720238095238,296.234772978959,295.488165680473,290.909090909091,286.397812713602,281.479783029711,286.467551622419,286.3413328828,287.6,286.284853051997,287.623529411765,290,300.156478937729,289.414414414414,263.698148148148,264.948830409357,266.574271499645,267.220902612827,277.186761229314,281.619718309859,285.029940773851,286.25,276.635656682028,277.777777777778,273.63184079602,277.178217821782,276.785143305622,279.65119047619,276.568176433423,277.857142857143,272.681818181818,272.805820827649,274.869109947644,276.729991545913,282.287822878229,277.451963241437,273.037542662116
"Roanoke City","VA","Roanoke","51","770",572,106.974116161616,107.686781609195,108.089260808926,107.25321888412,106.997889267738,105.189198624987,104,104.813127709785,103.359962406015,101.123595505618,100.656455142232,100.029015938607,99.1020010646535,95.1278037746275,96.7153284671533,96.7153284671533,99.768875192604,101.053740779768,100.798319327731,98.584856828912,99.5545082316813,100.880206097037,99.8552860992233,96.7923466516601,97.6809557273366,96.3539993575329,97.6738111970016,100.1554001554,98.416095890411,98.3776283647859,95.2059202059202,92.0873133509003,93.278463648834,94.8275862068966,99.1301658445583,98.6563471951357,98.6609302647039,96.7184956635677,96.549003349214,97.372435835507,98.5518905872888,98.5832349468713,99.058571035675,99.7434435575827,98.3746792130026,98.8526640894233,98.3751608751609,97.7465986394558,108.698208215116,98.7037037037037,100.628012028416,101.074629090228,103.771421300946,103.360910031024,102.840352595495,101.073156632138,100.289472106777,98.5473600371896,97.96918767507,97.6657924546887,96.8677325581395,97.6753349093775,100.022174882763,101.769553975436,102.040816326531,100.789628247651,101.672016496428,102.186311787072,100.096899224806,100.65756196257,97.8324092193955,96.7567567567568,97.3185007815358,97.4282885136544,97.8463796477495,100.416536896837,101.405131846096,101.546894463732,101.843731834036,100.901225666907,103.591773295742,102.777777777778,102.494873547505,102.829218106996,102.991662579696,102.520203385757,104.615432004351
"Daviess","KY","Owensboro","21","059",573,78.835706870743,78.679588128407,78.875,77.5395833333333,76.5451127819549,75.9375,74.9722222222222,74.1290322580645,74.9861111111111,75.1792114695341,76.5644955300128,76.8684392686999,77.8796561604585,78.7510638297872,78.6908578939907,79.639220894201,79.265873015873,79.2515805757331,78.656462585034,77.7994791666667,77.5423728813559,77.452044878755,76.6968325791855,77.1428571428571,78.5829828534455,79.1666666666667,79.0676274252916,79.8497588163852,78.7353984980826,81.5816326530612,81.9632173720363,82.1870886754741,81.9487179487179,81.9487179487179,82.780612244898,82.4870411468701,82.563025210084,84.2625993233758,83.9395047370282,84.2774784707059,83.1004657351963,82.0242282141461,82.3503902862099,80.5176132278936,81.9189431258397,84.121892542101,84.2780026990553,84.6781079895777,83.4366416112964,84.6575342465753,82.4095287237702,82.8268876611418,83.6844948676391,83.8547776047362,82.7639751552795,85.4656488549618,83.5631221050557,84.5982142857143,84.5982142857143,84.576802507837,85.1268926454059,86.3866233462775,86.5428066839228,90.1119402985075,91.8293938678522,91.9869444444444,92.9738562091503,91.6958041958042,91.8089870035625,90.4909006378452,90.7241100323625,88.8606248686015,88.4664983164983,89.5798319327731,92.4386539892439,91.7065390749601,91.4501006985132,92.7282695374801,94.8389411941981,94.137871246305,95.0120380106328,95.6141593782689,95.8333333333333,95.4761904761905,96.0660888635836,95.6896551724138,99.1106823549258
"Craighead","AR","Jonesboro","05","031",574,81.1456923770861,82.6173793887998,83.422778771616,83.4505198205906,82.8975597439197,82.7388535031847,80.9677419354839,81.9579702716556,82.2281167108753,81.1335403726708,81.6890736980929,81.2367764480762,81.1316740324893,79.5881403558091,79.8004648563408,80.7569296375267,82.65417692479,82.0934305755766,81.3670411985019,82.614855500231,82.2485207100592,82.2485207100592,82.9954218443427,83.3275442862105,83.7337969036998,83.7268876378052,83.8011210469192,85.496919883952,85.9503774030967,84.7537878787879,85.8325960200374,85.760289190303,85.978835978836,87.3495164256034,86.9494290375204,87.1794871794872,86.9494290375204,87.9120879120879,86.5252252252252,87.9120879120879,87.0322580645161,85.7462686567164,84.2398706162751,84.0845199699248,84.433155966578,84.3785632839225,84.8329048843188,85.2675693101225,84.4603381014304,86.2726513301632,87.248322147651,86.5431249758593,88.0952380952381,88.169099756691,88.209219858156,88.7488947833776,88.9505348671026,89.0331050667487,90.1168087437234,88.9031862745098,89.1304347826087,89.4173912548853,88.3516414141414,89.0118748246001,91.401507428624,92.0106382978723,92.0792079207921,91.0740449894877,92.3972602739726,93.1424766977364,94.2954525550951,93.9622641509434,93.3813892529489,93.9897203947368,93.4162663520462,89.5161290322581,94.3316261280978,95.216862586137,94.4116489571035,94.1820643517044,93.1758530183727,93.0479648179657,91.8621181173746,92,94.02038069602,94.7248975235678,94.2101483345184
"Cabell","WV","Huntington","54","011",575,78.1516877220002,79.8900810446251,81.3214739517154,79.9400199933356,78.9105447276362,79.8401420959147,77.7317110667358,76.530612244898,75.9503499109694,75.4288164665523,75.6001315356791,75.5144740011157,75.5144740011157,75.410427533638,78.2312925170068,79.1389468560604,79.6985415673635,78.247277890135,76.4906132665832,75.6239004872885,75.109649122807,74.95,75.2708978328173,74.95,74.6879940396657,74.6879940396657,74.8271889400922,72.5342649825316,74.7177067939828,75.5011135857461,75.3781078132812,76.50988032285,75,74.6877952959756,75.8899442126938,73.6752357100766,73.0263157894737,74.754378470739,75.7082687036888,77.3284505439807,78.0792396009787,76.6303418803419,77.316432264179,79.0366505024949,79.179826584809,79.0727272727273,76.3536741477918,76.3559969442322,78.1347434807256,79.140286571143,80.5267702936097,79.3429688716113,81.7971437624479,80.4123711340206,79.2314335060449,80.0220750551876,79.5101021803966,78.8288288288288,78.3069282031938,79.4887780548628,77.6715200364003,78.1778724747475,77.4904942965779,78.9935634874196,79.9878345498783,80.0376647834275,78.6293326978074,78.5944206008584,78.3310281235592,78.4361471861472,79.4871794871795,82.4319140774837,77.5595367551109,77.2882935179762,77.2804054054054,81.0634328358209,82.432770842965,83.9356295878035,78.1383432963279,78.581050740907,78.0261894208038,77.8858784893268,77.0872859025033,75.4637436762226,76.2873490146217,76.8988071189566,78.3001808318264
"Floyd","GA","Rome","13","115",576,73.5864312991973,73.2839838492598,73.6995869511468,73.7166818688558,73.6812251843449,72.9248308929811,73.4469668403492,73.4987745098039,72.7198842089825,71.965547531691,71.2915667224628,71.8598300970874,70.5548788638431,66.5925925925926,67.8373260524925,67.3744871113292,67.1575054423115,65.8914728682171,65.8914728682171,67.1835819152371,67.6587120882138,66.6853886378197,63.9671361502347,63.2334165286942,64.4239631336406,64.2018779342723,66.7337200248561,65.962098607559,66.1070261437908,67.0919778869177,65.4934437543133,64.6323529411765,62.5,60.2055864744816,66.2065637065637,66.3108407079646,66.6666666666667,66.8229777256741,68.6355311355311,68.8905547226387,67.5959780621572,69.4180832481254,71.4558209647495,72.6428911170722,72.4269377382465,70.7844516021715,67.9094018921375,67.6823613716357,68.3007783613482,67.4636061121083,69.8939973197461,70.9417889256981,72.9909749243407,73.0652831820147,73.0718085106383,71.9463753723932,73.3391608391608,71.4894199723247,72.2363945578231,71.5396785394265,71.4088541666667,72.9593079922027,75.0407830342577,75.4088050314465,76.287810115196,76.2909090909091,76.3764486975013,74.7337067209776,74.542967810534,75.0156282558866,75.2388661272044,74.3366795032669,73.4871363371824,72.5806451612903,73.8255033557047,76.1417894512065,77.5978407557355,77.1142857142857,77.1285714285714,75.5888191202468,76.1432926829268,76.9596951636333,77.0967339815507,76.2572135201979,76.2800241764968,76.4643019949624,76.7930327868852
